## begin version 0.98 source file header             
## generated at 20## from output of MCNPX case mctal, described as:   
## mcnpx      2.6.0  01/20/19 16:04:13   41   40000000  5009152019712
##  allph cylindrical para hydrogen moderator                                      
## Pulse shapes are as calculated with current tally for moderator
## 
## headerend
##
## section 1 key
## output reported is for 10x12 viewed area.       
## normalized to  2.2408e+14 p/pulse and  1.300 GeV
## Energy given is center of the bin in a logarithmic
## sense, and wavelength is for that energy.         
## There are 141 points.
## 
##  Energy     Wavelength      Flux      Std. Error      Flux      Std. Error  
##    E             l          f(E)         s(E)         f(l)         s(l)
##    eV        Angstroms       n/sterad/pulse/eV         n/sterad/pulse/Angstrom  
##
  1.0000e-05   9.0441e+01   6.1822e+12   2.1743e+11   1.3671e+06   4.8083e+04
  1.0593e-05   8.7875e+01   7.1646e+12   6.7916e+11   1.7272e+06   1.6373e+05
  1.1885e-05   8.2959e+01   7.0288e+12   6.1120e+11   2.0139e+06   1.7513e+05
  1.3335e-05   7.8319e+01   7.1531e+12   6.8987e+11   2.4359e+06   2.3493e+05
  1.4962e-05   7.3938e+01   8.1703e+12   6.4017e+11   3.3068e+06   2.5909e+05
  1.6788e-05   6.9802e+01   9.6719e+12   6.5975e+11   4.6524e+06   3.1735e+05
  1.8836e-05   6.5897e+01   9.7894e+12   6.0599e+11   5.5965e+06   3.4644e+05
  2.1135e-05   6.2211e+01   1.2326e+13   6.5418e+11   8.3750e+06   4.4449e+05
  2.3714e-05   5.8731e+01   1.3948e+13   6.7507e+11   1.1263e+07   5.4515e+05
  2.6607e-05   5.5445e+01   1.6537e+13   7.1532e+11   1.5871e+07   6.8653e+05
  2.9854e-05   5.2344e+01   1.6254e+13   6.3361e+11   1.8540e+07   7.2274e+05
  3.3497e-05   4.9416e+01   1.8792e+13   6.7839e+11   2.5477e+07   9.1969e+05
  3.7584e-05   4.6652e+01   2.0390e+13   6.5583e+11   3.2853e+07   1.0567e+06
  4.2170e-05   4.4042e+01   2.1263e+13   6.4098e+11   4.0718e+07   1.2275e+06
  4.7315e-05   4.1578e+01   2.4267e+13   6.6092e+11   5.5230e+07   1.5042e+06
  5.3088e-05   3.9252e+01   2.9312e+13   6.7253e+11   7.9288e+07   1.8192e+06
  5.9566e-05   3.7057e+01   3.5762e+13   7.0852e+11   1.1497e+08   2.2778e+06
  6.6834e-05   3.4984e+01   3.9447e+13   7.0403e+11   1.5072e+08   2.6900e+06
  7.4989e-05   3.3027e+01   4.6644e+13   7.4491e+11   2.1182e+08   3.3827e+06
  8.4140e-05   3.1179e+01   5.3123e+13   7.6113e+11   2.8671e+08   4.1079e+06
  9.4406e-05   2.9435e+01   5.8719e+13   7.6175e+11   3.7665e+08   4.8863e+06
  1.0593e-04   2.7789e+01   5.7603e+13   7.0891e+11   4.3915e+08   5.4045e+06
  1.1885e-04   2.6234e+01   6.4774e+13   7.3069e+11   5.8691e+08   6.6206e+06
  1.3335e-04   2.4767e+01   6.7326e+13   7.0686e+11   7.2502e+08   7.6120e+06
  1.4962e-04   2.3381e+01   7.4783e+13   7.1016e+11   9.5712e+08   9.0891e+06
  1.6788e-04   2.2073e+01   8.9144e+13   7.3966e+11   1.3560e+09   1.1251e+07
  1.8836e-04   2.0838e+01   1.0387e+14   7.5740e+11   1.8779e+09   1.3693e+07
  2.1135e-04   1.9673e+01   1.1307e+14   7.5173e+11   2.4296e+09   1.6152e+07
  2.3714e-04   1.8572e+01   1.2598e+14   7.6049e+11   3.2172e+09   1.9420e+07
  2.6607e-04   1.7533e+01   1.3642e+14   7.5170e+11   4.1405e+09   2.2814e+07
  2.9854e-04   1.6553e+01   1.4141e+14   7.3189e+11   5.1010e+09   2.6400e+07
  3.3497e-04   1.5627e+01   1.4848e+14   7.1786e+11   6.3654e+09   3.0775e+07
  3.7584e-04   1.4753e+01   1.5899e+14   7.0679e+11   8.1009e+09   3.6012e+07
  4.2170e-04   1.3927e+01   1.8329e+14   7.2629e+11   1.1099e+10   4.3982e+07
  4.7315e-04   1.3148e+01   2.0293e+14   7.2630e+11   1.4606e+10   5.2273e+07
  5.3088e-04   1.2413e+01   2.2068e+14   7.2439e+11   1.8876e+10   6.1963e+07
  5.9566e-04   1.1718e+01   2.2794e+14   7.0039e+11   2.3173e+10   7.1204e+07
  6.6834e-04   1.1063e+01   2.5182e+14   7.0500e+11   3.0427e+10   8.5183e+07
  7.4989e-04   1.0444e+01   2.7217e+14   6.9541e+11   3.9085e+10   9.9863e+07
  8.4140e-04   9.8598e+00   2.9576e+14   6.9286e+11   5.0478e+10   1.1825e+08
  9.4406e-04   9.3082e+00   3.1504e+14   6.8041e+11   6.3904e+10   1.3802e+08
  1.0593e-03   8.7875e+00   3.3643e+14   6.6856e+11   8.1106e+10   1.6118e+08
  1.1885e-03   8.2959e+00   3.5804e+14   6.5841e+11   1.0259e+11   1.8865e+08
  1.3335e-03   7.8319e+00   3.7790e+14   6.4201e+11   1.2869e+11   2.1863e+08
  1.4962e-03   7.3938e+00   3.9744e+14   6.2585e+11   1.6085e+11   2.5330e+08
  1.6788e-03   6.9802e+00   4.1283e+14   6.0412e+11   1.9858e+11   2.9059e+08
  1.8836e-03   6.5897e+00   4.2729e+14   5.8201e+11   2.4428e+11   3.3273e+08
  2.1135e-03   6.2211e+00   4.4195e+14   5.5911e+11   3.0029e+11   3.7989e+08
