# lambda                 I [n/muAh]               dI                       I[n/s]
1.011603279000000022e+00 5.955623200000000061e-02 2.251013799999999898e-02 3.590061576206399963e+01
1.086951272000000079e+00 3.403213199999999966e-02 1.701606500000000036e-02 2.051463723386400062e+01
1.162299264000000054e+00 2.552409900000000148e-02 1.473634499999999965e-02 1.538597792539800224e+01
1.237647256999999890e+00 6.806426499999999880e-02 2.406435000000000171e-02 4.102927507052999800e+01
1.312995249999999947e+00 1.701606599999999983e-02 1.203217500000000086e-02 1.025731861693200031e+01
1.388343243000000005e+00 3.403213199999999966e-02 1.701606500000000036e-02 2.051463723386400062e+01
1.463691236000000062e+00 4.254016599999999731e-02 1.902453900000000003e-02 2.564329714513199932e+01
1.539039228999999898e+00 7.657229799999999698e-02 2.552409799999999854e-02 4.615793437899599638e+01
1.614387221999999955e+00 3.147972250000000138e-01 5.175234199999999979e-02 1.897603968244500265e+02
1.689735215000000013e+00 6.891506830000000416e-01 7.657229299999999961e-02 4.154214100137660353e+02
1.765083208000000070e+00 1.480397763000000033e+00 1.122286569999999956e-01 8.923867323319260549e+02
1.840431200000000045e+00 1.531445960999999967e+00 1.141472349999999997e-01 9.231586881827220168e+02
1.915779193000000102e+00 3.760550638999999862e+00 1.788711410000000113e-01 2.266867446290477801e+03
1.991127185999999938e+00 9.316296265000000076e+00 2.815374689999999847e-01 5.615882021134530078e+03
2.066475179000000217e+00 1.627331494999999961e+02 1.176664284999999976e+00 9.809586798489899957e+04
2.141823172000000053e+00 3.277889920000000075e+02 1.669981804000000070e+00 1.975918599555840192e+05
2.217171164999999888e+00 3.814746809999999755e+02 1.801554545999999979e+00 2.299537006561619928e+05
2.292519158000000168e+00 4.163406006999999818e+02 1.882083723999999902e+00 2.509709467831614020e+05
2.367867151000000003e+00 4.726467638999999963e+02 2.005316378999999927e+00 2.849124145724478294e+05
2.443215143000000200e+00 5.294208688999999595e+02 2.122340614000000070e+00 3.191359586146578076e+05
2.518563136000000036e+00 5.383883358000000499e+02 2.140239514000000121e+00 3.245415655969116488e+05
2.593911128999999871e+00 5.526137671999999839e+02 2.168330141000000211e+00 3.331166840956943925e+05
2.669259122000000151e+00 6.270080087000000049e+02 2.309676207999999953e+00 3.779616816603774205e+05
2.744607114999999986e+00 6.027941465000000107e+02 2.264639457999999994e+00 3.633655170984930010e+05
2.819955107999999822e+00 5.741986471999999821e+02 2.210271579000000042e+00 3.461280929294544039e+05
2.895303101000000101e+00 5.713909962000000178e+02 2.204861189999999915e+00 3.444356352913524024e+05
2.970651093999999937e+00 5.773891595999999709e+02 2.216403715999999857e+00 3.480513401851991657e+05
3.045999087000000216e+00 5.614621216000000459e+02 2.185620662999999908e+00 3.384504898247232195e+05
3.121347078999999969e+00 5.490318852000000334e+02 2.161291473999999990e+00 3.309575184623304522e+05
3.196695071999999804e+00 5.311309834999999566e+02 2.125765600999999894e+00 3.201668191157669644e+05
3.272043065000000084e+00 4.912623403000000053e+02 2.044425518000000164e+00 2.961339212575206184e+05
3.347391057999999919e+00 4.779813005999999973e+02 2.016601147999999899e+00 2.881280839642811916e+05
3.422739051000000199e+00 4.422730856000000017e+02 1.939812762999999940e+00 2.666031005458512227e+05
3.498087044000000034e+00 4.419582884000000149e+02 1.939122288999999943e+00 2.664133401640967932e+05
3.573435036999999870e+00 4.035360107999999855e+02 1.852915886999999984e+00 2.432523143822615966e+05
3.648783030000000149e+00 4.180422072999999727e+02 1.885925891000000076e+00 2.519966786448546045e+05
3.724131022999999985e+00 3.993840907000000016e+02 1.843359057000000023e+00 2.407495286421414057e+05
3.799479015000000182e+00 3.691890811000000099e+02 1.772307113999999961e+00 2.225479164652422187e+05
3.874827008000000017e+00 3.723966095999999766e+02 1.779989400000000055e+00 2.244814210600991792e+05
3.950175000999999853e+00 3.453410643000000277e+02 1.714109920000000065e+00 2.081722842421686219e+05
4.025522994000000132e+00 3.048087944999999763e+02 1.610379760000000049e+00 1.837393509421889903e+05
4.100870987000000412e+00 3.201402701999999749e+02 1.650382881999999940e+00 1.929811951571003883e+05
4.176218979999999803e+00 3.358716233999999758e+02 1.690445654999999991e+00 2.024640863287668035e+05
4.251566973000000083e+00 3.191618464000000017e+02 1.647858972999999949e+00 1.923913993336128187e+05
4.326914966000000362e+00 3.186343482999999992e+02 1.646496651999999949e+00 1.920734224239366013e+05
4.402262957999999671e+00 3.143888398000000279e+02 1.635490843999999999e+00 1.895142214091196365e+05
4.477610950999999950e+00 2.836237921000000028e+02 1.553409247999999909e+00 1.709689891254641989e+05
4.552958944000000230e+00 2.716700055000000020e+02 1.520321379000000084e+00 1.637632226554109948e+05
4.628306936999999621e+00 2.839130652000000055e+02 1.554201222000000104e+00 1.711433635286904173e+05
4.703654929999999901e+00 2.773023235000000000e+02 1.536000336999999938e+00 1.671583952104469936e+05
4.779002923000000180e+00 2.543136179999999911e+02 1.470954926000000107e+00 1.533007575576360105e+05
4.854350915999999572e+00 2.413643916000000047e+02 1.433016386000000031e+00 1.454949379852632119e+05
4.929698908999999851e+00 2.470052174999999863e+02 1.449664888000000040e+00 1.488952391194349912e+05
5.005046902000000131e+00 2.412197549999999922e+02 1.432586957000000050e+00 1.454077507535099867e+05
5.080394894000000328e+00 2.285512937000000022e+02 1.394461084000000017e+00 1.377711769449473941e+05
5.155742886999999719e+00 2.150830773000000136e+02 1.352750420000000009e+00 1.296525091625946079e+05
5.231090879999999999e+00 1.940682353999999918e+02 1.284966440000000043e+00 1.169847204355908034e+05
